date,city,tourist_footfall,year,month,day,day_of_week,is_weekend,season,temp_avg,temp_min,temp_max,humidity,pressure,weather_condition,wind_speed,is_festival,festival_name,footfall_lag_1,footfall_lag_7,footfall_lag_30,footfall_rolling_7,footfall_rolling_30
2018-01-01,Jaipur,4895,2018,1,1,0,0,Winter,23.951062148094135,11.022209451182745,21.87036786141856,56.53523323293072,1005.892254179268,Clear,4.4230690211173815,0,,,,,4895.0,4895.0
2018-01-02,Jaipur,4041,2018,1,2,1,0,Winter,15.267927414448195,11.982993488919764,23.77926940749004,59.38052604829716,1009.26363997596,Clear,5.791814328333265,0,,4895.0,,,4468.0,4468.0
2018-01-03,Jaipur,4745,2018,1,3,2,0,Winter,12.228405392468458,12.476732536201284,23.688780759914195,44.553440624776464,1005.4099959136108,Clear,6.955705680331278,0,,4041.0,,,4560.333333333333,4560.333333333333
2018-01-04,Jaipur,4150,2018,1,4,3,0,Winter,18.942013634458554,8.396299684593535,23.369493940881053,56.02783282353296,1011.6965017778516,Clouds,7.829404459028796,0,,4745.0,,,4457.75,4457.75
2018-01-05,Jaipur,4441,2018,1,5,4,0,Winter,13.86218846926604,12.660728871042211,27.07665878270536,57.04105141080988,1013.8250468050052,Clear,7.197330881397315,0,,4150.0,,,4454.4,4454.4
2018-01-06,Jaipur,4964,2018,1,6,5,1,Winter,8.034018910471445,14.47139805717662,21.48143322721485,61.852422787387646,1014.8328727394984,Clear,6.352348263029837,0,,4441.0,,,4539.333333333333,4539.333333333333
2018-01-07,Jaipur,5101,2018,1,7,6,1,Winter,20.51678001050672,12.740927178324531,24.276907152230965,50.11453502043527,1003.4953853434254,Clear,6.240558504177392,0,,4964.0,,,4619.571428571428,4619.571428571428
2018-01-08,Jaipur,3994,2018,1,8,0,0,Winter,17.040558887285684,10.628514951927034,24.274681630792443,53.34862641571474,1011.980029885804,Clouds,7.425224207304338,0,,5101.0,4895.0,,4490.857142857143,4541.375
2018-01-09,Jaipur,4045,2018,1,9,1,0,Winter,15.028437428922343,10.468950812809975,24.94602137962159,60.26772838154662,1013.2766122116366,Clear,2.0614954113591226,0,,3994.0,4041.0,,4491.428571428572,4486.222222222223
2018-01-10,Jaipur,8005,2018,1,10,2,0,Winter,15.491353061345617,13.07344984300177,23.02261314265948,47.18589594087633,1008.6095812194732,Clear,6.399905025698869,1,Jaipur Literature Festival,4045.0,4745.0,,4957.142857142857,4838.1
